"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"video_time.44",1.32125200207936e-07,7.3585005467898e-08,-1.21956964415425e-08,2.76446096857414e-07,0.0727343734146959,1,0.310373407580147
"videogames_time.44",-2.19683769111504e-09,7.40991769045735e-08,-1.47526169174575e-07,1.43132493792345e-07,0.976351655454867,1,0.983583889939718
"social_activities_time.44",1.183974308487e-07,8.68084673052331e-08,-5.18583944868532e-08,2.88653256184252e-07,0.172771688239075,1,0.372414019788784
"tv_time.45",8.85002174865196e-08,6.05337603574331e-08,-3.02235602327451e-08,2.07223995205784e-07,0.143916304817738,1,0.359130595508483
"video_time.45",1.15975806117421e-07,6.09747801377569e-08,-3.61293578149814e-09,2.3556454801634e-07,0.0573267538816427,1,0.310373407580147
"videogames_time.45",-2.01525809384967e-09,6.13085694491781e-08,-1.22258654978354e-07,1.18228138790655e-07,0.973781307994557,1,0.983583889939718
"social_activities_time.45",1.40543456008011e-07,7.18174423140872e-08,-3.108046114817e-10,2.81397716627504e-07,0.0505071312788562,1,0.310373407580147
"tv_time.46",7.71359273304712e-08,7.05389961894755e-08,-6.12114593197604e-08,2.15483313980703e-07,0.274311833792564,1,0.436332273634955
"video_time.46",1.35795838636697e-07,7.10118381219878e-08,-3.47892789126919e-09,2.75070605164663e-07,0.0559972809239208,1,0.310373407580147
"videogames_time.46",-6.55897170935466e-08,7.18147465999524e-08,-2.06439219521459e-07,7.52597853343658e-08,0.361198126572242,1,0.50187363558822
"social_activities_time.46",1.49991468452901e-07,8.35023746201116e-08,-1.37808551105106e-08,3.13763792016313e-07,0.0726226124279283,1,0.310373407580147
"tv_time.47",1.17149946825693e-07,7.73889869694908e-08,-3.46316276841328e-08,2.68931521335518e-07,0.130256859510695,1,0.340671786412588
"video_time.47",1.57167368595325e-07,7.78470288399785e-08,4.4874451211763e-09,3.09847292069473e-07,0.0436427808640371,1,0.310373407580147
"videogames_time.47",-1.19177279264526e-07,7.83909809455068e-08,-2.72924045842171e-07,3.456948731312e-08,0.128612723713999,1,0.340671786412588
"social_activities_time.47",1.7292142305077e-07,9.18363899668791e-08,-7.19557307900855e-09,3.53038419180549e-07,0.0598709163414774,1,0.310373407580147
"tv_time.48",6.26834804495307e-08,8.10960746641592e-08,-9.63695127228744e-08,2.21736473621936e-07,0.439652114571629,1,0.548437213752377
"video_time.48",8.65013444397138e-08,8.18175090534034e-08,-7.39665914344434e-08,2.46969280313871e-07,0.290541454788425,1,0.448073267369633
"videogames_time.48",-1.43522395060779e-07,8.27217551736222e-08,-3.05763820620854e-07,1.87190304992963e-08,0.0829127015595348,1,0.310373407580147
"social_activities_time.48",1.770090032182e-07,9.59948982078903e-08,-1.12649169743048e-08,3.65282923410704e-07,0.0653568955875764,1,0.310373407580147
"tv_time.49",8.34353923999603e-08,7.36953685839027e-08,-6.11026086258915e-08,2.27973393425812e-07,0.257716280476136,1,0.430831556060634
"video_time.49",1.14867164971664e-07,7.41841348713446e-08,-3.06294485628593e-08,2.60363778506187e-07,0.121701332169453,1,0.340671786412588
"videogames_time.49",-8.42751241048122e-08,7.52416166744762e-08,-2.31845766291107e-07,6.32955180814824e-08,0.262838460241049,1,0.433521579837657
"social_activities_time.49",1.00312638148067e-07,8.72228775694086e-08,-7.07567331008433e-08,2.71382009396977e-07,0.250267611422845,1,0.424359374003858
"tv_time.50",4.47714721094132e-08,7.17621329530758e-08,-9.59748929023853e-08,1.85517837121212e-07,0.532781200382509,1,0.61930122437625
"video_time.50",1.32004462645248e-07,7.23330029399521e-08,-9.86154405278254e-09,2.73870469343278e-07,0.0681744351950124,1,0.310373407580147
"videogames_time.50",-9.22780221169988e-08,7.3043866353011e-08,-2.35538238230088e-07,5.09821939960908e-08,0.206637515837228,1,0.390315307692542
"social_activities_time.50",1.39256114194588e-07,8.4925011277892e-08,-2.73064745144895e-08,3.05818702903665e-07,0.101232069600642,1,0.320175848039238
"tv_time.51",1.51067936641256e-07,8.19909224496671e-08,-9.73999177728984e-09,3.11875865059802e-07,0.0655678443564109,1,0.310373407580147
"video_time.51",1.37057424959112e-07,8.25405297351951e-08,-2.48284424115633e-08,2.98943292329787e-07,0.0969916898687959,1,0.310373407580147
"videogames_time.51",-1.15964039583657e-07,8.34737894965638e-08,-2.79680299446797e-07,4.77522202794818e-08,0.164936436507946,1,0.372414019788784
"social_activities_time.51",1.92214535079745e-07,9.70588907084861e-08,1.85395999272798e-09,3.82575110166763e-07,0.0478124364085993,1,0.310373407580147
"tv_time.52",5.22812243175764e-08,7.03068730733123e-08,-8.56109017216874e-08,1.9017335035684e-07,0.457207144885833,1,0.556539546156917
"video_time.52",1.45517460550008e-07,7.07781590219185e-08,6.70100636777591e-09,2.84333914732239e-07,0.0399304826039436,1,0.310373407580147
"videogames_time.52",-7.73631754258011e-08,7.15784253639304e-08,-2.17749183514699e-07,6.30228326630966e-08,0.27992405984378,1,0.440111816632995
"social_activities_time.52",1.44345135963086e-07,8.32275928334275e-08,-1.88882609903599e-08,3.07578532916531e-07,0.0830294217908142,1,0.310373407580147
"tv_time.53",1.14728430215999e-07,6.52020795764495e-08,-1.31512381997703e-08,2.42608098631769e-07,0.0786484041720809,1,0.310373407580147
"video_time.53",1.07056657401605e-07,6.5622272728559e-08,-2.16471283017023e-08,2.35760443104912e-07,0.102979231072669,1,0.321958055767426
"videogames_time.53",3.72830451660999e-08,6.63134111275869e-08,-9.27762578745561e-08,1.67342348206756e-07,0.574032823410736,1,0.642538798221071
"social_activities_time.53",8.5953549031886e-08,7.73699850698554e-08,-6.57908140365553e-08,2.37697912100327e-07,0.266741700026541,1,0.433521579837657
"tv_time.54",1.26301868470159e-07,6.97037414159135e-08,-1.0406828514793e-08,2.63010565455111e-07,0.0701555849952438,1,0.310373407580147
"video_time.54",1.08150888399135e-07,7.02115692552131e-08,-2.95538022124584e-08,2.45855579010729e-07,0.123649005331413,1,0.340671786412588
"videogames_time.54",-5.97554727246138e-08,7.05959227748577e-08,-1.98213988995847e-07,7.87030435466194e-08,0.397417731657295,1,0.529283289049238
"social_activities_time.54",5.6864621186353e-08,8.26967364765524e-08,-1.05327003810643e-07,2.19056246183349e-07,0.491775388018459,1,0.586679410267635
"tv_time.55",6.63509144247479e-08,6.32694702323421e-08,-5.7738921717887e-08,1.90440750567383e-07,0.294456257141631,1,0.448073267369633
"video_time.55",1.51834513227935e-07,6.37652081353509e-08,2.67723908479073e-08,2.76896635607963e-07,0.017362783288682,1,0.310373407580147
"videogames_time.55",-5.35974977432603e-08,6.45837412193705e-08,-1.80265001611395e-07,7.30700061248743e-08,0.406710856449429,1,0.529283289049238
"social_activities_time.55",9.83962102919185e-08,7.48595017347796e-08,-4.84250491539932e-08,2.4521746973783e-07,0.188876159775667,1,0.383062916072563
"tv_time.56",5.78396527734595e-08,6.95809514351953e-08,-7.86287823965193e-08,1.94308087943438e-07,0.405939329389431,1,0.529283289049238
"video_time.56",1.32791393053976e-07,6.99411171394999e-08,-4.38343156677258e-09,2.69966217674724e-07,0.0577755370752842,1,0.310373407580147
"videogames_time.56",-1.28599371714704e-07,7.07816564002288e-08,-2.67422737714158e-07,1.02239942847495e-08,0.0694078579187694,1,0.310373407580147
"social_activities_time.56",1.18765394145018e-07,8.22391047527824e-08,-4.25293525335299e-08,2.80060140823566e-07,0.14887250314667,1,0.360591248213009
"tv_time.57",8.01180520582454e-08,6.68032942913151e-08,-5.09025419973403e-08,2.11138646113831e-07,0.230564944597715,1,0.407339822629347
"video_time.57",1.05359934803178e-07,6.72510948056015e-08,-2.65389256616111e-08,2.37258795267968e-07,0.117369676250029,1,0.340671786412588
"videogames_time.57",-6.88461371722783e-08,6.80114817438901e-08,-2.0223633649129e-07,6.45440621467331e-08,0.311544620708934,1,0.463060857010001
"social_activities_time.57",1.26458846104916e-07,7.90801401651252e-08,-2.86401958263243e-08,2.81557888036157e-07,0.109969726797293,1,0.325127887922432
"tv_time.58",1.08382494708044e-07,8.05331094655589e-08,-4.95664197491534e-08,2.66331409165242e-07,0.178533495380035,1,0.374808108199473
"video_time.58",1.4363687164635e-07,8.15851495514217e-08,-1.63754002377521e-08,3.03649143530452e-07,0.0784811022074491,1,0.310373407580147
"videogames_time.58",-4.67665291526327e-08,8.22155653487647e-08,-2.08015230270721e-07,1.14482171965455e-07,0.569544198410138,1,0.642538798221071
"social_activities_time.58",1.13651115503542e-07,9.54827212929804e-08,-7.36183476741479e-08,3.00920578681233e-07,0.23409460732488,1,0.410798278660434
"tv_time.59",5.88130565249527e-08,6.71829506392257e-08,-7.29521535075534e-08,1.90578266557459e-07,0.38146476611882,1,0.518792081921595
"video_time.59",9.12154649313599e-08,6.76332960924953e-08,-4.14330028722422e-08,2.23863932734962e-07,0.177611270385041,1,0.374808108199473
"videogames_time.59",-4.48124461538597e-08,6.8398004460304e-08,-1.78960728385664e-07,8.93358360779448e-08,0.512441263611686,1,0.606017494358168
"social_activities_time.59",1.36939931712533e-07,7.95295682588421e-08,-1.90405687822216e-08,2.92920432207289e-07,0.0852649274907762,1,0.310373407580147
"tv_time.60",5.78762568950601e-08,7.63021014947007e-08,-9.17742471943016e-08,2.07526760984422e-07,0.448242786980666,1,0.55168343013005
"video_time.60",1.29066269577001e-07,7.68135750777468e-08,-2.15873822374147e-08,2.79719921391417e-07,0.0930824143565005,1,0.310373407580147
"videogames_time.60",-8.43797951829676e-08,7.76820819673551e-08,-2.367368403678e-07,6.79772500018651e-08,0.277528047007957,1,0.438881562710257
"social_activities_time.60",1.54147052290249e-07,9.03246006818409e-08,-2.30056310424189e-08,3.31299735622917e-07,0.0880716519389602,1,0.310373407580147
"tv_time.61",9.5289952398154e-08,6.29056383938449e-08,-2.80857471430728e-08,2.18665651939381e-07,0.12999655502509,1,0.340671786412588
"video_time.61",1.12507486754403e-07,6.32981701182382e-08,-1.16380782126534e-08,2.36653051721459e-07,0.0756677442201663,1,0.310373407580147
"videogames_time.61",-7.99814335722552e-08,6.39223878124767e-08,-2.05351265499461e-07,4.53883983549504e-08,0.21101408213502,1,0.395833312694658
"social_activities_time.61",1.03507100964511e-07,7.46491396673844e-08,-4.29009168502389e-08,2.49915118779262e-07,0.165741081087207,1,0.372414019788784
"tv_time.62",7.94967863844847e-08,7.5870116915881e-08,-6.93065271389984e-08,2.28300099907968e-07,0.294871745805751,1,0.448073267369633
"video_time.62",1.30967195464607e-07,7.64736660422202e-08,-1.90198530196784e-08,2.80954243948892e-07,0.0869632023599504,1,0.310373407580147
"videogames_time.62",-1.41896086154145e-07,7.72252224416833e-08,-2.93357154807186e-07,9.56498249889625e-09,0.0663118333885986,1,0.310373407580147
"social_activities_time.62",1.74505453369057e-07,8.97864969948613e-08,-1.59191942548776e-09,3.50602826163602e-07,0.0521050682402645,1,0.310373407580147
"tv_time.63",8.03082685075214e-08,7.2927090987734e-08,-6.27222727619143e-08,2.23338809776957e-07,0.270950987398536,1,0.433521579837657
"video_time.63",1.86006794903187e-07,7.33587242533099e-08,4.21296993729265e-08,3.29883890433447e-07,0.0113100695894348,1,0.310373407580147
"videogames_time.63",-9.75553003476958e-08,7.38713145616501e-08,-2.4243772967447e-07,4.73271289790778e-08,0.186798662303838,1,0.383062916072563
"social_activities_time.63",1.01315713924366e-07,8.65415226295691e-08,-6.84165578053583e-08,2.7104798565409e-07,0.241866960279549,1,0.416378564531881
"tv_time.64",-1.84932955193599e-09,9.70530744306148e-08,-1.92198497234723e-07,1.88499838130851e-07,0.984799490091524,1,0.984799490091524
"video_time.64",-5.14833757359126e-08,9.77036473866967e-08,-2.43108505271878e-07,1.40141753800053e-07,0.598304664368781,1,0.666050735674599
"videogames_time.64",-7.81166456140498e-09,9.88083517414844e-08,-2.01603439056359e-07,1.85980109933549e-07,0.936994727119913,1,0.96905918546242
"social_activities_time.64",3.06788160948674e-07,1.14889105557585e-07,8.14573741909513e-08,5.32118947706397e-07,0.00764693468282454,1,0.310373407580147
