"Fitted values"	"Residuals"
1309993.99609416	-23023.9960941634
1310889.45008668	-14309.450086682
1535310.11208138	-87150.112081384
1539312.53605639	-96672.5360563889
1450703.91230176	36076.087698243
1439229.57983953	52970.4201604686
1564908.19543379	276121.804566211
1568854.92362517	289585.07637483
1532202.56700102	-347172.567001018
1541859.49321251	-264259.493212506
1455004.91293359	39535.0870664108
1454262.77802664	-86482.77802664
1562691.55341705	185348.44658295
1568083.92748903	140756.072510967
1346347.1030114	-86427.1030113978
1356414.1357953	-32464.1357953012
1381917.1999366	7752.80006340173
1379725.13412722	126994.865872776
1607481.71064172	277348.289358276
1608308.02672979	226531.973270215
1391682.57917158	28707.4208284189
1406822.22303338	72167.7769666216
1605384.5720848	220475.427915196
1611470.83133782	189369.16866218
1599014.28090989	-104294.280909893
1602494.26039034	-93944.2603903413
1535937.55666854	79372.4433314621
1533493.97255903	69066.0274409738
1535607.15999114	-30967.1599911387
1546619.85810326	-30209.8581032628
1546695.19232297	69224.8076770274
1543049.17288864	112350.827111357
1475272.30154079	-8142.30154079481
1469126.66882312	-22396.6688231221
1358688.57846628	-82338.5784662828
1381006.76999023	-46856.7699902267
1400247.70952509	-125647.709525085
1404972.39427131	-110232.394271312
1459884.63929157	-16374.639291575
1473101.68076608	-21081.6807660775
1550229.22957624	26670.7704237636
1547468.49709219	-8948.49709218832
1378794.47834225	7335.52165774766
1355068.37478024	14261.6252197595
1490719.51057439	-69259.5105743908
1493961.05509791	-56531.0550979063
1554803.01949732	51316.9805026832
1558874.38634606	79085.6136539365
1576026.13819198	-153566.138191984
1584118.03505079	-47388.0350507938
1559140.50201312	-4810.50201311958
1575410.88074779	-13830.8807477945
1427877.18074321	-113787.180743208
1422782.05633984	-72592.0563398447
1442805.03750348	141894.962496518
1446609.35636293	48980.6436370672
1565424.85099962	152315.149000378
1593758.50649722	235801.493502778
1478169.28070118	-54419.2807011752
1477849.21917624	43640.7808237608
1589104.28081999	-225304.280819994
1590850.79768491	-232310.797684913
1620071.42351395	20428.5764860483
1624580.29986456	144729.700135438
1413926.69311331	268433.306886692
1409019.58916837	203520.410831626
1598507.52818786	120372.471812137
1594929.07478239	80820.9252176095
1394786.0022113	77913.9977886967
1397247.89512681	22132.1048731927
1546411.04944833	48088.9505516729
1571186.27400327	58003.725996732
1448009.70435717	-94669.7043571683
1416298.45829672	60001.5417032833
1351458.58393937	32811.416060634
1356393.76395154	-183913.763951539
1551838.05356684	180341.946433161
1561483.70774135	79796.2922586461
1542890.25493442	112789.745065581
1561135.8782605	-81585.8782605009
1520854.94662042	-236974.946620423
1533849.70005801	-679790.700058012
1577980.90149216	-57440.9014921606
1570277.71238494	103942.287615063
1567652.67501583	-68122.6750158261
1586774.44007475	-80364.4400747505
1590451.98527639	-161821.985276394
1597057.10647662	-146067.106476616
1378667.57122891	161412.428771088
1375253.40999627	84986.5900037265
1553416.53884785	-120046.538847846
1551782.55673465	-169312.556734645
1590653.11881355	-35593.1188135501
1592553.73980161	-1163.73980161056
1431905.14319801	50284.8568019935
1441619.88860394	21870.1113960649
1528367.53392051	200972.46607949
1546798.96885526	167231.031144744
1546963.91487476	-147033.914874764
1561250.88748836	-148470.887488361
1579268.61010564	-102478.610105639
1588901.66211546	-53191.6621154562
1486777.8270693	-131437.827069303
1490993.66421349	-54333.6642134886
1397887.19844058	-114957.19844058
1396781.14342319	-38471.1434231935
1502929.69476104	25950.3052389583
1524769.84180276	-20249.8418027583
